0,Published,Link,Title,Snippet
18,2020-08-02T09:18:44Z,https://timesofindia.indiatimes.com/city/vijayawada/former-minister-and-bjp-leader-dies-of-covid-19/articleshow/77314118.cms,Former minister and BJP leader dies of Covid-19,
19,2020-08-02T06:55:41Z,https://timesofindia.indiatimes.com/city/agra/two-held-murder-bid-on-bjp-mans-kin/articleshow/77312688.cms,Two held murder bid on BJP man’s kin,A team of Firozabad police arrested two Azamgarh-based shooters on Saturday and claimed that they were hired to eliminate the nephew of a national level BJP functionary.
20,2020-08-02T05:39:56Z,https://timesofindia.indiatimes.com/city/bengaluru/bjp-mlas-meet-karnataka-cm-bs-yediyurappa-in-show-of-support-amid-speculations/articleshow/77311951.cms,BJP MLAs meet Karnataka CM BS Yediyurappa in show of support amid speculations,"Senior ministers and MLAs visited chief minister BS Yediyurappa at his official residence Cauvery on Friday, indicating moral support to him amid speculations over change of guard in the state."
21,2020-08-02T05:23:07Z,https://timesofindia.indiatimes.com/india/telangana-bjp-leader-invites-asaduddin-owaisi-to-participate-in-bhoomi-poojan-of-ram-temple/articleshow/77311808.cms,Telangana BJP leader invites Asaduddin Owaisi to participate in 'bhoomi poojan' of Ram temple,Telangana BJP Leader and Chief Spokesperson Krishna Sagar Rao has invited AIMIM chief Asaduddin Owaisi to participate in the 'bhoomi poojan' of the Ram temple in Ayodya.
22,2020-08-02T03:38:25Z,https://timesofindia.indiatimes.com/city/jaipur/bjp-announces-fresh-executive-committee-for-raj/articleshow/77309534.cms,BJP announces fresh executive committee for Rajasthan,
23,2020-08-02T02:57:33Z,https://timesofindia.indiatimes.com/city/jaipur/govt-has-mentally-lost-majority-says-bjp-chief/articleshow/77309532.cms,"Rajasthan: State govt has ‘mentally’ lost majority, says BJP chief",
24,2020-08-02T02:21:04Z,https://timesofindia.indiatimes.com/city/goa/cong-offers-food-supplies-to-central-jail-officials-reject-the-move/articleshow/77309428.cms,"Congress offers food supplies to Central Jail, officials reject the move","The Congress party on Saturday attempted to donate food supplies to the Central Jail at Colvale only for the prison authorities to rebuff the offer. Congress office bearers Sankalp Amonkar, Amarnath Panjikar, Janardhan Bhandari along with other party workers offered groceries after the correctional facility ran out of supplies on Friday."
25,2020-08-01T23:18:00Z,https://timesofindia.indiatimes.com/city/dehradun/bjp-mlas-not-contributing-30-of-salary-perks-for-covid-19-fight-cong-mla/articleshow/77307518.cms,BJP MLAs not contributing 30% of salary & perks for Covid-19 fight: Cong MLA,
26,2020-08-01T23:17:00Z,https://timesofindia.indiatimes.com/city/vijayawada/centre-has-no-role-in-deciding-the-states-capital-city-says-bjp/articleshow/77291429.cms,"Centre has no role in deciding the state’s capital city, says BJP",
27,2020-08-01T23:14:00Z,https://timesofindia.indiatimes.com/city/hyderabad/dissolve-scb-elected-body-bjp-to-kishan/articleshow/77309317.cms,Dissolve SCB elected body: BJP to Kishan,
28,2020-08-01T22:30:00Z,https://timesofindia.indiatimes.com/city/mysuru/if-you-dig-up-my-past-ill-dig-yours-too-siddaramaiah-to-bjp/articleshow/77307778.cms,"If you dig up my past, I’ll dig yours too: Siddaramaiah to BJP",
29,2020-08-01T18:21:44Z,https://timesofindia.indiatimes.com/india/no-mahurrat-for-ram-temple-bhoomi-pujan-on-aug-5-digvijaya-singh/articleshow/77306124.cms,No mahurrat for Ram temple bhoomi pujan on Aug 5: Digvijaya Singh,
30,2020-08-01T17:49:28Z,https://timesofindia.indiatimes.com/india/do-not-discredit-your-own-legacy-congress-veterans-to-young-leaders/articleshow/77306703.cms,Do not discredit your own legacy: Congress veterans to young leaders,"Congress party veterans urged their colleagues on Saturday not to discredit their own legacy and said by doing so, they would only be aiding the BJP's designs to undermine the party in the public eye. Advising restraint in airing grievances in public, several former Union ministers cautioned party colleagues, saying such tendencies divide the Congress at a time when unity is needed."
