0,Published,Link,Title,Snippet
14,"India News | Written by Ratnadip Choudhary | Tuesday August 4, 2020",https://www.ndtv.com/india-news/case-against-tripura-bjp-mla-after-visit-to-covid-centre-in-ppe-suit-2273613,Case Against Tripura BJP MLA After Visit To Covid Centre In PPE Suit,"A suo moto case has been filed against BJP lawmaker and former Tripura Health Minister Sudip Roy Barman on Sunday evening for violating COVID-19 norms and ""unauthorised"" entry inside a Covid care centre."
15,"India News | Press Trust of India | Monday August 3, 2020",https://www.ndtv.com/india-news/west-bengal-bjp-president-dilip-ghosh-trinamool-congress-must-withdraw-lockdown-on-august-5-2273459,Trinamool Must Withdraw Lockdown On August 5 For Bhoomi Pujan: Dilip Ghosh,"State BJP president Dilip Ghosh on Monday appealed to the TMC government to withdraw its decision on total lockdown on August 5, the day scheduled for ""bhoomi pujan"" (groundbreaking ceremony) at Ayodhya for the Ram temple, and said the decision reflects the ruling party's strategy to turn ""West Bengal into Bangladesh"""
0,"India News | Reported by Akhilesh Sharma, Edited by Deepshikha Ghosh | Monday August 3, 2020",https://www.ndtv.com/india-news/uma-bharti-says-will-stay-away-from-ayodhya-event-as-covid-19-precaution-to-visit-site-after-pm-others-leave-2273117,"""Worried About PM"": Uma Bharti To Skip Ayodhya Event As Covid Precaution","Veteran BJP leader Uma Bharti, a stalwart of the Ram temple movement, tweeted today that she would travel to Ayodhya but avoid the groundbreaking event on Wednesday as a precaution against the coronavirus. She said she would visit the site of the temple only after the event was over."
1,"India News | Press Trust of India | Sunday August 2, 2020",https://www.ndtv.com/india-news/union-minister-gajendra-shekhawat-vasundhara-rajes-silence-on-rajasthan-may-be-strategy-2273017,"Vasundhara Raje's ""Silence"" On Rajasthan May Be Strategy: Union Minister","The ""silence"" of senior BJP leader Vasundhara Raje Scindia on the political developments in Rajasthan can be a ""strategy"", her party colleague and Union Minister Gajendra Shekhawat said on Sunday."
2,"India News | Press Trust of India | Sunday August 2, 2020",https://www.ndtv.com/india-news/coronavirus-uttar-pradesh-bjp-chief-swatantra-dev-singh-says-he-tested-positive-for-covid-19-2272981,UP BJP Chief Says He Tested Positive For COVID-19,"The chief of Uttar Pradesh's BJP unit, Swatantra Dev Singh, has tested positive for COVID-19 and has quarantined himself at his home as per doctors' advice."
3,"India News | Press Trust of India | Sunday August 2, 2020",https://www.ndtv.com/india-news/good-fortune-ram-temple-will-be-built-in-my-lifetime-chirag-paswan-2272978,"""Good Fortune, Ram Temple Will Be Built In My Lifetime"": Chirag Paswan","BJP ally and Lok Janshakti Party president Chirag Paswan said on Sunday that it is his ""good fortune"" that Ram temple is going to be constructed in Ayodhya in his lifetime."
4,"India News | Reported by Akhilesh Sharma, Edited by Arun Nair | Sunday August 2, 2020",https://www.ndtv.com/india-news/lk-advani-mm-joshi-to-attend-ayodhya-ceremony-via-video-conference-2272774,"LK Advani, MM Joshi To Attend Ayodhya Ceremony Via Video Conference","Veteran BJP leaders LK Advani and Murli Manohar Joshi will not visit Ayodhya for the ground-breaking ceremony for building of a temple there, NDTV has learnt. The two leaders will instead attend the August 5 event via videoconferencing, sources told NDTV."
5,"India News | Edited by Shatabdi Chowdhury | Saturday August 1, 2020",https://www.ndtv.com/india-news/sushant-singh-rajput-case-uddhav-thackeray-under-bollywood-mafia-pressure-says-sushil-modi-2272686,"Uddhav Thackeray Under ""Bollywood Mafia"" Pressure, Says Sushil Modi","A day after flaying the Mumbai police, Bihar Deputy Chief Minister Sushil Modi today attacked the Maharashtra government for its handling of actor Sushant Singh Rajput's death case. The BJP leader has claimed that Uddhav Thackeray is trying to save those responsible in the case as he was under pressure from the ""Bollywood mafia"", patronised by ally..."
6,"India News | ANI | Saturday August 1, 2020",https://www.ndtv.com/india-news/centre-allocates-rs-5-958-crore-for-ladakh-development-bjp-mp-jamyang-tsering-namgyal-2272625,"Centre Allocates Rs 5,958 Crore For Ladakh Development: BJP MP","BJP Ladakh unit chief and MP Jamyang Tsering Namgyal has said that Rs 5,958 crores have been set aside for overall inclusive development of the Union Territory in 2020-21 budget by Finance Minister Nirmala Sitharaman."
7,"India News | Reported by Harsha Kumari Singh, Edited by Vaibhav Tiwari | Saturday August 1, 2020",https://www.ndtv.com/india-news/ashok-gehlot-to-narendra-modi-on-rajasthan-crisis-end-this-tamasha-2272616,"""End This Tamasha"": Ashok Gehlot To PM Modi On Rajasthan Crisis","Prime Minister Narendra Modi must put an end to the BJP's alleged attempts to topple the Congress-led Rajasthan government, Chief Minister Ashok Gehlot said on Saturday in Jaisalmer, where he has flocked his nearly 100 loyal MLAs in a resort to avert possible inducements from the rival camp"
